Alloy name,Ag,Al,B,C,Ca,Co,Cr,Cu,Fe,Ga,Hf,Li,Mg,Mn,Mo,Nb,Nd,Ni,Pd,Re,Sc,Si,Sn,Ta,Ti,V,W,Y,Zn,Zr
Al0.5 Co1 Cr1 Cu1 Fe1 Ni1 Ti0.4,,0.085,,,,0.169,0.169,0.169,0.169,,,,,,,,,0.169,,,,,,,0.068,,,,,
Al0.5 Co1 Cr1 Cu1 Fe1 Ni1 Ti0.6,,0.082,,,,0.164,0.164,0.164,0.164,,,,,,,,,0.164,,,,,,,0.098,,,,,
Al0.5 Co1 Cr1 Cu1 Fe1 Ni1 Ti0.8,,0.079,,,,0.159,0.159,0.159,0.159,,,,,,,,,0.159,,,,,,,0.127,,,,,
Al0.417 Co0.833 Cr0.833 Cu0.833 Fe0.833 Ni0.833 Ti1,,0.075,,,,0.149,0.149,0.149,0.149,,,,,,,,,0.149,,,,,,,0.179,,,,,
Al0.357 Co0.714 Cr0.714 Cu0.714 Fe0.714 Ni0.714 Ti1,,0.072,,,,0.145,0.145,0.145,0.145,,,,,,,,,0.145,,,,,,,0.203,,,,,
Al0.312 Co0.625 Cr0.625 Cu0.625 Fe0.625 Ni0.625 Ti1,,0.07,,,,0.141,0.141,0.141,0.141,,,,,,,,,0.141,,,,,,,0.225,,,,,
Al0.278 Co0.556 Cr0.556 Cu0.556 Fe0.556 Ni0.556 Ti1,,0.069,,,,0.137,0.137,0.137,0.137,,,,,,,,,0.137,,,,,,,0.246,,,,,
Al0.25 Co0.5 Cr0.5 Cu0.5 Fe0.5 Ni0.5 Ti1,,0.067,,,,0.133,0.133,0.133,0.133,,,,,,,,,0.133,,,,,,,0.267,,,,,
Al0.5 Co1 Cr1 Cu1 Fe1 Ni1 V0.2,,0.088,,,,0.175,0.175,0.175,0.175,,,,,,,,,0.175,,,,,,,,0.035,,,,
Al0.5 Co1 Cr1 Cu1 Fe1 Ni1 V0.4,,0.085,,,,0.169,0.169,0.169,0.169,,,,,,,,,0.169,,,,,,,,0.068,,,,
Al0.5 Co1 Cr1 Cu1 Fe1 Ni1 V0.6,,0.082,,,,0.164,0.164,0.164,0.164,,,,,,,,,0.164,,,,,,,,0.098,,,,
Al0.5 Co1 Cr1 Cu1 Fe1 Ni1 V0.8,,0.079,,,,0.159,0.159,0.159,0.159,,,,,,,,,0.159,,,,,,,,0.127,,,,
Al0.5 Co1 Cr1 Cu1 Fe1 Ni1 V1,,0.077,,,,0.154,0.154,0.154,0.154,,,,,,,,,0.154,,,,,,,,0.154,,,,
Al0.417 Co0.833 Cr0.833 Cu0.833 Fe0.833 Ni0.833 V1,,0.075,,,,0.149,0.149,0.149,0.149,,,,,,,,,0.149,,,,,,,,0.179,,,,
Al0.357 Co0.714 Cr0.714 Cu0.714 Fe0.714 Ni0.714 V1,,0.072,,,,0.145,0.145,0.145,0.145,,,,,,,,,0.145,,,,,,,,0.203,,,,
Al0.312 Co0.625 Cr0.625 Cu0.625 Fe0.625 Ni0.625 V1,,0.07,,,,0.141,0.141,0.141,0.141,,,,,,,,,0.141,,,,,,,,0.225,,,,
