Alloy composition,FORMULA,IDENTIFIER: Reference ID,REFERENCE: doi,PROPERTY: Processing method,PROPERTY: Microstructure,PROPERTY: O content (wppm),PROPERTY: N content (wppm),PROPERTY: C content (wppm),PROPERTY: grain size ($\mu$m),PROPERTY: ROM Density (g/cm$^3$),PROPERTY: Exp. Density (g/cm$^3$),PROPERTY: HV,PROPERTY: Type of test,PROPERTY: Test temperature ($^\circ$C),PROPERTY: YS (MPa),PROPERTY: UTS (MPa),PROPERTY: Elongation (%),PROPERTY: Elongation plastic (%),PROPERTY: Young modulus (GPa),REFERENCE: year
,Al0.214 Nb0.714 Ta0.571 Ti1 V0.143 Zr0.929,39,10.1007/s11837-014-1066-0,OTHER,BCC,,,,180.0,7.8,,,C,800.0,678.0,693.0,50.0,,,2014
,Al0.214 Nb0.714 Ta0.571 Ti1 V0.143 Zr0.929,39,10.1007/s11837-014-1066-0,OTHER,BCC,,,,180.0,7.8,,,C,1000.0,166.0,189.0,50.0,,,2014
Al0.214 Nb0.714 Ta0.714 Ti1 Zr0.929,,,,,,,,,,,,,,,,,,,,
,Al0.214 Nb0.714 Ta0.714 Ti1 Zr0.929,39,10.1007/s11837-014-1066-0,OTHER,BCC,,,,200.0,8.1,,490.0,C,25.0,1965.0,2054.0,5.0,,113.0,2014
,Al0.214 Nb0.714 Ta0.714 Ti1 Zr0.929,39,10.1007/s11837-014-1066-0,OTHER,BCC,,,,200.0,8.2,,,C,25.0,1965.0,2054.0,5.0,,,2014
,Al0.214 Nb0.714 Ta0.714 Ti1 Zr0.929,39,10.1007/s11837-014-1066-0,OTHER,BCC,,,,200.0,8.2,,,C,800.0,362.0,397.0,50.0,,,2014
,Al0.214 Nb0.714 Ta0.714 Ti1 Zr0.929,39,10.1007/s11837-014-1066-0,OTHER,BCC,,,,200.0,8.2,,,C,1000.0,236.0,247.0,50.0,,,2014
Al0.229 Co0.486 Cr0.4 Cu0.229 Fe0.486 Mo0.003 Ni1 Ti0.029 W0.003,,,,,,,,,,,,,,,,,,,,
,Al0.229 Co0.486 Cr0.4 Cu0.229 Fe0.486 Mo0.003 Ni1 Ti0.029 W0.003,159,10.1016/j.matchar.2018.06.036,CAST,,,,,,,,231.0,,,,,,,,2018
,Al0.229 Co0.486 Cr0.4 Cu0.229 Fe0.486 Mo0.003 Ni1 Ti0.029 W0.003,159,10.1016/j.matchar.2018.06.036,ANNEAL,,,,,,,,178.0,,,,,,,,2018
,Al0.229 Co0.486 Cr0.4 Cu0.229 Fe0.486 Mo0.003 Ni1 Ti0.029 W0.003,159,10.1016/j.matchar.2018.06.036,ANNEAL,,,,,,,,343.0,,,,,,,,2018
,Al0.229 Co0.486 Cr0.4 Cu0.229 Fe0.486 Mo0.003 Ni1 Ti0.029 W0.003,159,10.1016/j.matchar.2018.06.036,ANNEAL,,,,,,,,171.0,,,,,,,,2018
Al0.24 Nb1 Ti1 V1 Zr1,,,,,,,,,,,,,,,,,,,,
,Al0.24 Nb1 Ti1 V1 Zr1,157,10.1016/j.actamat.2019.06.032,OTHER,,,,,,,6.34,,C,23.0,1240.0,,,,,2019
,Al0.24 Nb1 Ti1 V1 Zr1,157,10.1016/j.actamat.2019.06.032,OTHER,,,,,,,6.34,,C,1000.0,82.0,,,,,2019
,Al0.24 Nb1 Ti1 V1 Zr1,157,10.1016/j.actamat.2019.06.032,OTHER,,,,,,,6.34,,C,1200.0,24.0,,,,,2019
Al0.242 Co0.515 Cr0.515 Cu0.242 Fe0.515 Ni1,,,,,,,,,,,,,,,,,,,,
,Al0.242 Co0.515 Cr0.515 Cu0.242 Fe0.515 Ni1,159,10.1016/j.matchar.2018.06.036,CAST,,,,,,,,280.0,T,25.0,357.0,459.0,9.0,,,2018
,Al0.242 Co0.515 Cr0.515 Cu0.242 Fe0.515 Ni1,159,10.1016/j.matchar.2018.06.036,ANNEAL,,,,,,,,168.0,,,,,,,,2018
,Al0.242 Co0.515 Cr0.515 Cu0.242 Fe0.515 Ni1,159,10.1016/j.matchar.2018.06.036,ANNEAL,,,,,,,,328.0,,,,,,,,2018
,Al0.242 Co0.515 Cr0.515 Cu0.242 Fe0.515 Ni1,159,10.1016/j.matchar.2018.06.036,ANNEAL,,,,,,,,206.0,,,,,,,,2018
,Al0.242 Co0.515 Cr0.515 Cu0.242 Fe0.515 Ni1,159,10.1016/j.matchar.2018.06.036,ANNEAL,,,,,,,,,T,25.0,215.0,489.0,39.0,,,2018
,Al0.242 Co0.515 Cr0.515 Cu0.242 Fe0.515 Ni1,159,10.1016/j.matchar.2018.06.036,CAST,,,,,,,,,T,25.0,357.0,459.0,9.0,,,2018
,Al0.242 Co0.515 Cr0.515 Cu0.242 Fe0.515 Ni1,159,10.1016/j.matchar.2018.06.036,ANNEAL,,,,,,,,,T,25.0,365.0,365.0,0.1,,,2018
,Al0.242 Co0.515 Cr0.515 Cu0.242 Fe0.515 Ni1,159,10.1016/j.matchar.2018.06.036,ANNEAL,,,,,,,,,T,25.0,215.0,489.0,39.0,,,2018
Al0.25 Co0.5 Cr0.5 Cu0.5 Fe0.5 Ni0.5 Ti1,,,,,,,,,,,,,,,,,,,,
,Al0.25 Co0.5 Cr0.5 Cu0.5 Fe0.5 Ni0.5 Ti1,24,10.2320/matertrans.47.1395,CAST,FCC+BCC+Sec.,,,,,6.5,,696.0,,25.0,,,,,,2006
Al0.25 Co0.5 Cr0.5 Cu0.5 Fe0.5 Ni0.5 V1,,,,,,,,,,,,,,,,,,,,
,Al0.25 Co0.5 Cr0.5 Cu0.5 Fe0.5 Ni0.5 V1,25,10.1007/s11661-006-0081-3,CAST,BCC,,,,,7.2,,587.0,,25.0,,,,,176.0,2006
,Al0.25 Co0.5 Cr0.5 Cu0.5 Fe0.5 Ni0.5 V1,208,10.1016/j.msea.2019.05.056,,,,,,,,,550.0,,,,,,,,2019
Al0.25 Co1 Cr1 Cu0.5 Fe1 Ni1 Ti0.5,,,,,,,,,,,,,,,,,,,,
,Al0.25 Co1 Cr1 Cu0.5 Fe1 Ni1 Ti0.5,13,10.1016/j.jallcom.2008.11.059,CAST,FCC,,,,,7.4,,,,25.0,,,,,198.0,2008
Al0.25 Co1 Cr1 Cu0.75 Fe1 Ni1 Ti0.5,,,,,,,,,,,,,,,,,,,,
,Al0.25 Co1 Cr1 Cu0.75 Fe1 Ni1 Ti0.5,13,10.1016/j.jallcom.2008.11.059,CAST,FCC,,,,,7.5,,,C,25.0,750.0,1970.0,,39.0,103.0,2008
Al0.25 Co1 Cr1 Cu1 Fe1 Mn1 Ni1 Ti1 V1,,,,,,,,,,,,,,,,,,,,
,Al0.25 Co1 Cr1 Cu1 Fe1 Mn1 Ni1 Ti1 V1,61,10.1016/j.msea.2006.11.049,CAST,BCC,,,,,6.1,,,C,25.0,1465.0,2016.0,2.0,,190.0,2006
Al0.25 Co1 Cr1 Fe1 Ni1,,,,,,,,,,,,,,,,,,,,
,Al0.25 Co1 Cr1 Fe1 Ni1,54,10.1016/j.jallcom.2009.08.090,ANNEAL,FCC,,,,,7.7,,110.0,,25.0,,,,,216.0,2009
,Al0.25 Co1 Cr1 Fe1 Ni1,54,10.1016/j.jallcom.2009.08.090,ANNEAL,FCC,,,,,7.7,,113.0,,25.0,,,,,216.0,2009
Al0.25 Co1 Fe1 Ni1,,,,,,,,,,,,,,,,,,,,
,Al0.25 Co1 Fe1 Ni1,27,10.1016/j.jmmm.2014.07.023,CAST,FCC,,,,,7.9,,138.0,C,25.0,158.0,,,,196.0,2014
Al0.25 Cr0.417 Fe0.417 Ni1,,,,,,,,,,,,,,,,,,,,
,Al0.25 Cr0.417 Fe0.417 Ni1,199,10.1016/j.jallcom.2018.08.176,CAST,FCC,,,,,,,,T,25.0,441.0,757.0,45.0,,,2018
Al0.25 Cr0.5 Fe1 Mn0.625 Ni0.375,,,,,,,,,,,,,,,,,,,,
,Al0.25 Cr0.5 Fe1 Mn0.625 Ni0.375,149,10.1016/j.jallcom.2018.08.093,CAST,,,,,175.0,,,,C,25.0,994.0,,,,,2018
,Al0.25 Cr0.5 Fe1 Mn0.625 Ni0.375,149,10.1016/j.jallcom.2018.08.093,CAST,,,,,175.0,,,,C,400.0,943.0,,,,,2018
,Al0.25 Cr0.5 Fe1 Mn0.625 Ni0.375,149,10.1016/j.jallcom.2018.08.093,CAST,,,,,175.0,,,,C,600.0,359.0,,,,,2018
Al0.25 Cr0.5 Nb0.5 Ti1 V0.25,,,,,,,,,,,,,,,,,,,,
,Al0.25 Cr0.5 Nb0.5 Ti1 V0.25,98,10.1016/j.matlet.2016.11.030,ANNEAL,BCC+Laves,,,,,5.8,,,C,600.0,930.0,,,,,2016
,Al0.25 Cr0.5 Nb0.5 Ti1 V0.25,98,10.1016/j.matlet.2016.11.030,ANNEAL,BCC+Laves,,,,,5.8,,,C,800.0,445.0,,,,143.0,2016
,Al0.25 Cr0.5 Nb0.5 Ti1 V0.25,98,10.1016/j.matlet.2016.11.030,ANNEAL,BCC+Laves,,,,,5.8,,,C,1000.0,90.0,,,,,2016
,Al0.25 Cr0.5 Nb0.5 Ti1 V0.25,98,10.1016/j.matlet.2016.11.030,ANNEAL,BCC+Laves,,,,,5.8,,,C,25.0,1340.0,1700.0,,,,2016
,Al0.25 Cr0.5 Nb0.5 Ti1 V0.25,98,10.1016/j.matlet.2016.11.030,CAST,BCC,,,,,5.8,,,C,25.0,1240.0,,,,,2016
Al0.25 Mo1 Nb1 Ti1 V1,,,,,,,,,,,,,,,,,,,,
,Al0.25 Mo1 Nb1 Ti1 V1,41,10.3390/e16020870,CAST,BCC,,,,,7.1,,460.0,C,25.0,1250.0,1500.0,13.0,,164.0,2014
Al0.25 Nb1 Ta1 Ti1 V1,,,,,,,,,,,,,,,,,,,,
,Al0.25 Nb1 Ta1 Ti1 V1,42,10.1016/j.proeng.2012.03.043,CAST,BCC,,,,,8.8,,,C,25.0,1330.0,,,,92.0,2012
Al0.25 Nb1 Ta1 Ti1 Zr1,,,,,,,,,,,,,,,,,,,,
,Al0.25 Nb1 Ta1 Ti1 Zr1,78,10.1016/j.matdes.2017.11.033,OTHER,BCC+B2,,,,,8.6,,,C,1000.0,366.0,408.0,,,,2017
,Al0.25 Nb1 Ta1 Ti1 Zr1,78,10.1016/j.matdes.2017.11.033,OTHER,BCC+B2,,,,,8.6,,,C,25.0,1745.0,1830.0,,,,2017
Al0.267 Co1 Cr0.667 Fe0.667 Ni0.667 Ti0.2,,,,,,,,,,,,,,,,,,,,
,Al0.267 Co1 Cr0.667 Fe0.667 Ni0.667 Ti0.2,131,10.5755/j01.ms.25.3.19452,POWDER,,,,,,,,515.0,C,25.0,2012.0,,,17.52,,2019
Al0.278 Co0.556 Cr0.556 Cu0.556 Fe0.556 Ni0.556 Ti1,,,,,,,,,,,,,,,,,,,,
,Al0.278 Co0.556 Cr0.556 Cu0.556 Fe0.556 Ni0.556 Ti1,24,10.2320/matertrans.47.1395,CAST,FCC+BCC+Sec.,,,,,6.6,,667.0,,25.0,,,,,,2006
