Alloy composition,FORMULA,IDENTIFIER: Reference ID,REFERENCE: doi,PROPERTY: Processing method,PROPERTY: Microstructure,PROPERTY: O content (wppm),PROPERTY: N content (wppm),PROPERTY: C content (wppm),PROPERTY: grain size ($\mu$m),PROPERTY: ROM Density (g/cm$^3$),PROPERTY: Exp. Density (g/cm$^3$),PROPERTY: HV,PROPERTY: Type of test,PROPERTY: Test temperature ($^\circ$C),PROPERTY: YS (MPa),PROPERTY: UTS (MPa),PROPERTY: Elongation (%),PROPERTY: Elongation plastic (%),PROPERTY: Young modulus (GPa),REFERENCE: year
,Co0.476 Cr0.476 Fe0.476 Nb0.19 Ni1,195,10.1016/j.matlet.2019.04.012,CAST,,,,,,,,,T,25.0,640.0,840.0,7.0,,,2019
,Co0.476 Cr0.476 Fe0.476 Nb0.19 Ni1,195,10.1016/j.matlet.2019.04.012,ANNEAL,,,,,,,,,T,25.0,,,3.0,,,2019
Co0.5 Cr0.5 Fe1 Ni1,,,,,,,,,,,,,,,,,,,,
,Co0.5 Cr0.5 Fe1 Ni1,153,10.1080/21663831.2018.1553803,WROUGHT,FCC,,,,14.9,,,,T,25.0,214.0,612.0,77.3,,,2018
Co0.5 Fe0.5 Mo0.1 Ni1 V0.25,,,,,,,,,,,,,,,,,,,,
,Co0.5 Fe0.5 Mo0.1 Ni1 V0.25,168,10.1016/j.scriptamat.2019.02.038,CAST,FCC,,,,,,,,T,-196.0,419.0,,34.6,,,2019
,Co0.5 Fe0.5 Mo0.1 Ni1 V0.25,168,10.1016/j.scriptamat.2019.02.038,CAST,FCC,,,,,,,,T,-70.0,350.0,,28.8,,,2019
,Co0.5 Fe0.5 Mo0.1 Ni1 V0.25,168,10.1016/j.scriptamat.2019.02.038,CAST,FCC,,,,,,,,T,20.0,252.0,,82.1,,,2019
,Co0.5 Fe0.5 Mo0.1 Ni1 V0.25,168,10.1016/j.scriptamat.2019.02.038,CAST,FCC,,,,,,,,T,600.0,214.0,,189.2,,,2019
,Co0.5 Fe0.5 Mo0.1 Ni1 V0.25,168,10.1016/j.scriptamat.2019.02.038,CAST,FCC,,,,,,,,T,700.0,212.0,,154.3,,,2019
,Co0.5 Fe0.5 Mo0.1 Ni1 V0.25,168,10.1016/j.scriptamat.2019.02.038,CAST,FCC,,,,,,,,T,800.0,187.0,,119.5,,,2019
Co0.5 Fe0.5 Mo0.5 Ni1 V0.5,,,,,,,,,,,,,,,,,,,,
,Co0.5 Fe0.5 Mo0.5 Ni1 V0.5,60,10.1016/j.jallcom.2015.07.185,CAST,FCC+Sec.,,,,,8.5,,382.0,,25.0,,,,,,2015
Co0.556 Fe0.556 Mo0.556 Ni1 V0.556,,,,,,,,,,,,,,,,,,,,
,Co0.556 Fe0.556 Mo0.556 Ni1 V0.556,60,10.1016/j.jallcom.2015.07.185,CAST,FCC+Sec.,,,,,8.5,,510.0,,25.0,,,,,,2015
Co0.564 Nb0.795 Ta0.103 Ti1 W0.103,,,,,,,,,,,,,,,,,,,,
,Co0.564 Nb0.795 Ta0.103 Ti1 W0.103,212,10.1038/s41467-019-10533-1,CAST,,,,,,,,277.0,,25.0,,,,,,2019
Co0.625 Fe0.625 Mo0.625 Ni1 V0.625,,,,,,,,,,,,,,,,,,,,
,Co0.625 Fe0.625 Mo0.625 Ni1 V0.625,60,10.1016/j.jallcom.2015.07.185,CAST,FCC+Sec.,,,,,8.5,,520.0,,25.0,,,,,,2015
Co0.714 Fe0.714 Mo0.714 Ni1 V0.714,,,,,,,,,,,,,,,,,,,,
,Co0.714 Fe0.714 Mo0.714 Ni1 V0.714,60,10.1016/j.jallcom.2015.07.185,CAST,FCC+Sec.,,,,,8.5,,538.0,,25.0,,,,,,2015
Co0.833 Fe0.833 Mo0.833 Ni1 V0.833,,,,,,,,,,,,,,,,,,,,
,Co0.833 Fe0.833 Mo0.833 Ni1 V0.833,60,10.1016/j.jallcom.2015.07.185,CAST,FCC+Sec.,,,,,8.4,,602.0,,25.0,,,,,,2015
Co0.875 Cr0.625 Fe1 Ni1,,,,,,,,,,,,,,,,,,,,
,Co0.875 Cr0.625 Fe1 Ni1,153,10.1080/21663831.2018.1553803,WROUGHT,FCC,,,,11.6,,,,T,25.0,241.0,721.0,96.2,,,2018
Co0.986 Cr0.952 Fe0.933 Mn0.914 Ni1,,,,,,,,,,,,,,,,,,,,
,Co0.986 Cr0.952 Fe0.933 Mn0.914 Ni1,156,10.1016/j.msea.2019.01.112,WROUGHT,BCC,,,,,,,,T,25.0,1290.0,1415.0,1.1,,,2019
,Co0.986 Cr0.952 Fe0.933 Mn0.914 Ni1,156,10.1016/j.msea.2019.01.112,WROUGHT,,,,,1.3,,,,T,25.0,1135.0,1260.0,1.8,,,2019
,Co0.986 Cr0.952 Fe0.933 Mn0.914 Ni1,156,10.1016/j.msea.2019.01.112,WROUGHT,,,,,2.0,,,,T,25.0,585.0,815.0,31.7,,,2019
,Co0.986 Cr0.952 Fe0.933 Mn0.914 Ni1,156,10.1016/j.msea.2019.01.112,WROUGHT,,,,,3.6,,,,T,25.0,425.0,735.0,40.2,,,2019
,Co0.986 Cr0.952 Fe0.933 Mn0.914 Ni1,156,10.1016/j.msea.2019.01.112,WROUGHT,FCC,,,,17.1,,,,T,25.0,270.0,630.0,46.2,,,2019
,Co0.986 Cr0.952 Fe0.933 Mn0.914 Ni1,156,10.1016/j.msea.2019.01.112,WROUGHT,,,,,0.07,,,,T,25.0,1120.0,1175.0,1.5,,,2019
Co1 Cr0.053 Ni1,,,,,,,,,,,,,,,,,,,,
,Co1 Cr0.053 Ni1,164,10.1016/j.actamat.2019.04.017,WROUGHT,FCC,,,,7.28,,,,T,25.0,,,,,219.0,2019
Co1 Cr0.2 Fe1 Ni1 Si0.2,,,,,,,,,,,,,,,,,,,,
,Co1 Cr0.2 Fe1 Ni1 Si0.2,102,10.1016/j.jmmm.2019.01.096,CAST,FCC,,,,,,,130.1,T,25.0,225.0,732.0,61.0,,,2019
,Co1 Cr0.2 Fe1 Ni1 Si0.2,102,10.1016/j.jmmm.2019.01.096,WROUGHT,FCC,,,,,,,318.2,T,25.0,705.0,1070.0,10.0,,,2019
,Co1 Cr0.2 Fe1 Ni1 Si0.2,102,10.1016/j.jmmm.2019.01.096,WROUGHT,FCC,,,,,,,153.8,T,25.0,320.0,920.0,60.0,,,2019
Co1 Cr0.25 Ni1,,,,,,,,,,,,,,,,,,,,
,Co1 Cr0.25 Ni1,164,10.1016/j.actamat.2019.04.017,WROUGHT,FCC,,,,0.212,,,,T,25.0,745.0,824.0,36.0,,223.0,2019
,Co1 Cr0.25 Ni1,164,10.1016/j.actamat.2019.04.017,WROUGHT,FCC,,,,0.34,,,,T,25.0,623.0,746.0,53.0,,223.0,2019
,Co1 Cr0.25 Ni1,164,10.1016/j.actamat.2019.04.017,WROUGHT,FCC,,,,1.46,,,,T,25.0,387.0,626.0,73.0,,223.0,2019
,Co1 Cr0.25 Ni1,164,10.1016/j.actamat.2019.04.017,WROUGHT,FCC,,,,2.65,,,,T,25.0,330.0,553.0,101.0,,223.0,2019
Co1 Cr0.385 Fe0.154 Ni0.154,,,,,,,,,,,,,,,,,,,,
,Co1 Cr0.385 Fe0.154 Ni0.154,153,10.1080/21663831.2018.1553803,WROUGHT,,,,,6.2,,,,T,25.0,482.0,857.0,13.3,,,2018
Co1 Cr0.429 Fe0.571 Mo0.286 Ni0.571,,,,,,,,,,,,,,,,,,,,
,Co1 Cr0.429 Fe0.571 Mo0.286 Ni0.571,159,10.1016/j.matchar.2018.06.036,CAST,FCC,,,,,,,,T,25.0,350.0,720.0,21.9,,,2018
,Co1 Cr0.429 Fe0.571 Mo0.286 Ni0.571,159,10.1016/j.matchar.2018.06.036,WROUGHT,,,,,,,,,T,25.0,1311.0,1410.0,12.1,,,2018
,Co1 Cr0.429 Fe0.571 Mo0.286 Ni0.571,159,10.1016/j.matchar.2018.06.036,WROUGHT,,,,,,,,,T,25.0,1212.0,1360.0,14.9,,,2018
,Co1 Cr0.429 Fe0.571 Mo0.286 Ni0.571,159,10.1016/j.matchar.2018.06.036,WROUGHT,,,,,,,,,T,25.0,1028.0,1249.0,18.3,,,2018
,Co1 Cr0.429 Fe0.571 Mo0.286 Ni0.571,159,10.1016/j.matchar.2018.06.036,WROUGHT,,,,,,,,,T,25.0,879.0,1194.0,25.4,,,2018
,Co1 Cr0.429 Fe0.571 Mo0.286 Ni0.571,159,10.1016/j.matchar.2018.06.036,WROUGHT,,,,,,,,,T,25.0,799.0,1127.0,28.2,,,2018
,Co1 Cr0.429 Fe0.571 Mo0.286 Ni0.571,159,10.1016/j.matchar.2018.06.036,WROUGHT,FCC,,,,,,,,T,25.0,350.0,918.0,62.4,,,2018
Co1 Cr0.455 Fe0.364 Ni0.364,,,,,,,,,,,,,,,,,,,,
,Co1 Cr0.455 Fe0.364 Ni0.364,153,10.1080/21663831.2018.1553803,WROUGHT,,,,,5.6,,,,T,25.0,392.0,746.0,20.3,,,2018
Co1 Cr0.487 Nb0.231 Ta0.026 Ti0.821,,,,,,,,,,,,,,,,,,,,
,Co1 Cr0.487 Nb0.231 Ta0.026 Ti0.821,212,10.1038/s41467-019-10533-1,CAST,,,,,,,,856.0,,25.0,,,,,,2019
Co1 Cr0.556 Fe0.667 Ni0.667,,,,,,,,,,,,,,,,,,,,
,Co1 Cr0.556 Fe0.667 Ni0.667,153,10.1080/21663831.2018.1553803,WROUGHT,FCC,,,,10.5,,,,T,25.0,299.0,841.0,76.1,,,2018
Co1 Cr0.588 Fe0.176 Mo0.176 Ni1,,,,,,,,,,,,,,,,,,,,
,Co1 Cr0.588 Fe0.176 Mo0.176 Ni1,143,10.1016/j.ijplas.2018.10.005,WROUGHT,FCC,,,,,,,,T,25.0,,,8.0,,,2018
,Co1 Cr0.588 Fe0.176 Mo0.176 Ni1,143,10.1016/j.ijplas.2018.10.005,WROUGHT,FCC,,,,0.7,,,,T,25.0,,,14.0,,,2018
,Co1 Cr0.588 Fe0.176 Mo0.176 Ni1,143,10.1016/j.ijplas.2018.10.005,WROUGHT,FCC,,,,0.8,,,,T,25.0,1100.0,1300.0,32.0,,,2018
,Co1 Cr0.588 Fe0.176 Mo0.176 Ni1,143,10.1016/j.ijplas.2018.10.005,WROUGHT,FCC,,,,1.2,,,,T,25.0,950.0,,36.0,,,2018
,Co1 Cr0.588 Fe0.176 Mo0.176 Ni1,143,10.1016/j.ijplas.2018.10.005,WROUGHT,FCC,,,,3.2,,,,T,25.0,649.0,,42.0,,,2018
,Co1 Cr0.588 Fe0.176 Mo0.176 Ni1,143,10.1016/j.ijplas.2018.10.005,WROUGHT,FCC,,,,18.2,,,,T,25.0,439.0,,63.0,,,2018
,Co1 Cr0.588 Fe0.176 Mo0.176 Ni1,143,10.1016/j.ijplas.2018.10.005,WROUGHT,FCC,,,,94.1,,,,T,25.0,309.0,,82.0,,,2018
Co1 Cr0.667 Fe0.667 Ni1 Ti0.333,,,,,,,,,,,,,,,,,,,,
,Co1 Cr0.667 Fe0.667 Ni1 Ti0.333,1,10.1016/j.actamat.2011.06.041,ANNEAL,Other,,,,,7.8,,509.0,,25.0,,,,,211.0,2011
Co1 Cr0.667 Fe0.667 Ni1 Ti0.667,,,,,,,,,,,,,,,,,,,,
,Co1 Cr0.667 Fe0.667 Ni1 Ti0.667,1,10.1016/j.actamat.2011.06.041,ANNEAL,FCC+Sec.,,,,,7.4,,654.0,,25.0,,,,,,2011
Co1 Cr0.917 Ni1 Ta0.5 Ti0.75,,,,,,,,,,,,,,,,,,,,
,Co1 Cr0.917 Ni1 Ta0.5 Ti0.75,212,10.1038/s41467-019-10533-1,CAST,,,,,,,,1011.0,,25.0,,,,,,2019
Co1 Cr1 Cu0.5 Fe1 Ni1,,,,,,,,,,,,,,,,,,,,
,Co1 Cr1 Cu0.5 Fe1 Ni1,21,10.1016/j.intermet.2010.03.030,CAST,FCC,,,,,8.3,,172.0,,25.0,,,,,214.0,2010
Co1 Cr1 Cu1 Fe1,,,,,,,,,,,,,,,,,,,,
,Co1 Cr1 Cu1 Fe1,20,10.3166/acsm.31.633-648,,FCC,,,,,8.2,,134.0,,25.0,,,,,206.0,2019
Co1 Cr1 Cu1 Fe1 Mn1 Ni1 Ti1 V1,,,,,,,,,,,,,,,,,,,,
,Co1 Cr1 Cu1 Fe1 Mn1 Ni1 Ti1 V1,61,10.1016/j.msea.2006.11.049,CAST,FCC+BCC+Sec.,,,,,7.3,,,C,25.0,1312.0,1312.0,1.0,,74.0,2006
Co1 Cr1 Cu1 Fe1 Ni1,,,,,,,,,,,,,,,,,,,,
,Co1 Cr1 Cu1 Fe1 Ni1,4,10.1016/j.jallcom.2008.07.124,CAST,FCC,,,,,8.3,,286.0,,25.0,,,,,206.0,2008
,Co1 Cr1 Cu1 Fe1 Ni1,32,10.1016/j.msea.2011.11.063,,FCC,,,,,8.3,,286.0,C,25.0,230.0,888.0,51.0,,56.0,2011
,Co1 Cr1 Cu1 Fe1 Ni1,159,10.1016/j.matchar.2018.06.036,CAST,,,,,,,,,C,25.0,,,50.2,,,2018
,Co1 Cr1 Cu1 Fe1 Ni1,147,10.1016/j.vacuum.2018.12.009,CAST,,,,,,,,45.2,,,,,,,,2018
,Co1 Cr1 Cu1 Fe1 Ni1,208,10.1016/j.msea.2019.05.056,,FCC,,,,,,,166.0,T,25.0,230.0,,,,,2019
,Co1 Cr1 Cu1 Fe1 Ni1,119,10.1007/s11665-018-3837-1,CAST,FCC,,,,,,,,C,25.0,300.0,,50.2,,,2019
Co1 Cr1 Cu1 Fe1 Ni1 Ti0.5,,,,,,,,,,,,,,,,,,,,
,Co1 Cr1 Cu1 Fe1 Ni1 Ti0.5,13,10.1016/j.jallcom.2008.11.059,CAST,FCC,,,,,7.8,,,C,25.0,700.0,1650.0,,29.0,93.0,2008
,Co1 Cr1 Cu1 Fe1 Ni1 Ti0.5,22,10.1016/j.intermet.2006.08.005,CAST,FCC,,,,,7.8,,,C,25.0,700.0,1650.0,22.0,21.6,99.0,2006
Co1 Cr1 Cu1 Fe1 Ni1 Ti0.8,,,,,,,,,,,,,,,,,,,,
,Co1 Cr1 Cu1 Fe1 Ni1 Ti0.8,22,10.1016/j.intermet.2006.08.005,CAST,FCC+Laves (C14),,,,,7.6,,,C,25.0,1042.0,1848.0,3.0,2.11,128.0,2006
,Co1 Cr1 Cu1 Fe1 Ni1 Ti0.8,181,10.1016/j.jallcom.2019.07.100,,,,,,,,,,C,25.0,1042.0,,2.11,,,2019
Co1 Cr1 Cu1 Fe1 Ni1 Ti1,,,,,,,,,,,,,,,,,,,,
,Co1 Cr1 Cu1 Fe1 Ni1 Ti1,22,10.1016/j.intermet.2006.08.005,CAST,FCC,,,,,7.4,,,C,25.0,1272.0,1272.0,2.0,0.0,77.0,2006
,Co1 Cr1 Cu1 Fe1 Ni1 Ti1,181,10.1016/j.jallcom.2019.07.100,,,,,,,,,,C,25.0,1272.0,,0.0,,,2019
Co1 Cr1 Cu1 Fe1 Ni1 Ti1 V1 Zr1,,,,,,,,,,,,,,,,,,,,
,Co1 Cr1 Cu1 Fe1 Ni1 Ti1 V1 Zr1,15,10.1002/adem.200300567,CAST,,,,,,7.1,,680.0,,25.0,,,,,168.0,2004
Co1 Cr1 Cu1 Fe1 Ni1 V0.042,,,,,,,,,,,,,,,,,,,,
,Co1 Cr1 Cu1 Fe1 Ni1 V0.042,119,10.1007/s11665-018-3837-1,CAST,,,,,,,,,C,25.0,303.0,,50.2,,,2019
Co1 Cr1 Cu1 Fe1 Ni1 V0.087,,,,,,,,,,,,,,,,,,,,
,Co1 Cr1 Cu1 Fe1 Ni1 V0.087,119,10.1007/s11665-018-3837-1,CAST,,,,,,,,,C,25.0,307.0,,50.2,,,2019
Co1 Cr1 Cu1 Fe1 Ni1 V0.136,,,,,,,,,,,,,,,,,,,,
,Co1 Cr1 Cu1 Fe1 Ni1 V0.136,119,10.1007/s11665-018-3837-1,CAST,,,,,,,,,C,25.0,330.0,,50.2,,,2019
Co1 Cr1 Cu1 Fe1 Ni1 V0.19,,,,,,,,,,,,,,,,,,,,
,Co1 Cr1 Cu1 Fe1 Ni1 V0.19,119,10.1007/s11665-018-3837-1,CAST,,,,,,,,,C,25.0,616.0,,28.0,,,2019
Co1 Cr1 Cu1 Ni1 Zn1,,,,,,,,,,,,,,,,,,,,
,Co1 Cr1 Cu1 Ni1 Zn1,120,10.3390/e21020122,POWDER,FCC,,,,500.0,,5.26,,C,25.0,,,,,,2019
,Co1 Cr1 Cu1 Ni1 Zn1,120,10.3390/e21020122,POWDER,FCC,,,,500.0,,6.26,,C,25.0,,,,,,2019
,Co1 Cr1 Cu1 Ni1 Zn1,120,10.3390/e21020122,POWDER,FCC,,,,500.0,,7.84,,C,25.0,,,,,,2019
,Co1 Cr1 Cu1 Ni1 Zn1,120,10.3390/e21020122,POWDER,FCC,,,,500.0,,7.89,615.0,C,25.0,,,,,,2019
Co1 Cr1 Fe1 Ga1 Ni1,,,,,,,,,,,,,,,,,,,,
,Co1 Cr1 Fe1 Ga1 Ni1,115,10.1007/s10853-018-03196-8,CAST,,,,,,,,,,,,,,,,2019
Co1 Cr1 Fe1 Mn0.2 Ni1 Pd1,,,,,,,,,,,,,,,,,,,,
,Co1 Cr1 Fe1 Mn0.2 Ni1 Pd1,106,10.3390/e21030288,CAST,,,,,,,,470.0,C,25.0,650.0,,50.0,,,2019
Co1 Cr1 Fe1 Mn0.4 Ni1 Pd1,,,,,,,,,,,,,,,,,,,,
,Co1 Cr1 Fe1 Mn0.4 Ni1 Pd1,106,10.3390/e21030288,CAST,,,,,,,,380.0,C,25.0,650.0,,46.0,,,2019
Co1 Cr1 Fe1 Mn0.6 Ni1 Pd1,,,,,,,,,,,,,,,,,,,,
,Co1 Cr1 Fe1 Mn0.6 Ni1 Pd1,106,10.3390/e21030288,CAST,,,,,,,,180.0,C,25.0,650.0,,42.0,,,2019
Co1 Cr1 Fe1 Mn0.8 Ni1 Pd1,,,,,,,,,,,,,,,,,,,,
,Co1 Cr1 Fe1 Mn0.8 Ni1 Pd1,106,10.3390/e21030288,CAST,,,,,,,,160.0,C,25.0,650.0,,35.0,,,2019
Co1 Cr1 Fe1 Mn1,,,,,,,,,,,,,,,,,,,,
,Co1 Cr1 Fe1 Mn1,181,10.1016/j.jallcom.2019.07.100,,,,,,,,,,C,25.0,338.0,,4.3,,,2019
Co1 Cr1 Fe1 Mn1 Mo0.042 Ni1,,,,,,,,,,,,,,,,,,,,
,Co1 Cr1 Fe1 Mn1 Mo0.042 Ni1,138,10.1016/j.jmst.2018.10.009,CAST,FCC,,,,,,,,C,25.0,225.0,,,,,2018
Co1 Cr1 Fe1 Mn1 Mo0.087 Ni1,,,,,,,,,,,,,,,,,,,,
,Co1 Cr1 Fe1 Mn1 Mo0.087 Ni1,138,10.1016/j.jmst.2018.10.009,CAST,,,,,,,,,C,25.0,330.0,,,,,2018
Co1 Cr1 Fe1 Mn1 Mo0.136 Ni1,,,,,,,,,,,,,,,,,,,,
,Co1 Cr1 Fe1 Mn1 Mo0.136 Ni1,138,10.1016/j.jmst.2018.10.009,CAST,,,,,,,,,C,25.0,560.0,,,,,2018
Co1 Cr1 Fe1 Mn1 Mo0.19 Ni1,,,,,,,,,,,,,,,,,,,,
,Co1 Cr1 Fe1 Mn1 Mo0.19 Ni1,138,10.1016/j.jmst.2018.10.009,CAST,,,,,,,,,C,25.0,765.0,,,,,2018
Co1 Cr1 Fe1 Mn1 Ni1,,,,,,,,,,,,,,,,,,,,
,Co1 Cr1 Fe1 Mn1 Ni1,16,10.1016/j.actamat.2013.09.037,CAST,FCC,,,,,8.0,,176.0,T,25.0,208.0,,62.0,,219.0,2013
,Co1 Cr1 Fe1 Mn1 Ni1,17,10.1016/j.jallcom.2014.12.157,CAST,FCC,,,,300.0,8.0,,144.0,C,25.0,,,,,,2014
,Co1 Cr1 Fe1 Mn1 Ni1,17,10.1016/j.jallcom.2014.12.157,ANNEAL,FCC,,,,350.0,8.0,,135.0,C,25.0,230.0,,,75.0,219.0,2014
,Co1 Cr1 Fe1 Mn1 Ni1,159,10.1016/j.matchar.2018.06.036,WROUGHT,FCC,,,,4.4,,,,T,25.0,370.0,670.0,56.0,,,2018
,Co1 Cr1 Fe1 Mn1 Ni1,159,10.1016/j.matchar.2018.06.036,WROUGHT,FCC,,,,13.0,,,,T,25.0,243.0,558.0,50.0,,,2018
,Co1 Cr1 Fe1 Mn1 Ni1,159,10.1016/j.matchar.2018.06.036,WROUGHT,FCC,,,,7.0,,,,T,25.0,249.0,621.0,41.0,,,2018
,Co1 Cr1 Fe1 Mn1 Ni1,159,10.1016/j.matchar.2018.06.036,ANNEAL,FCC,,,,,,,,C,25.0,230.0,,75.0,,,2018
,Co1 Cr1 Fe1 Mn1 Ni1,159,10.1016/j.matchar.2018.06.036,CAST,FCC,,,,,,,,T,25.0,209.0,496.0,62.0,,,2018
,Co1 Cr1 Fe1 Mn1 Ni1,189,10.1016/j.msea.2018.10.094,WROUGHT,FCC,,,,0.5,,,,T,25.0,1120.0,,1.1,,,2018
,Co1 Cr1 Fe1 Mn1 Ni1,189,10.1016/j.msea.2018.10.094,WROUGHT,FCC,,,,0.5,,,,T,-196.0,1692.0,,10.3,,,2018
,Co1 Cr1 Fe1 Mn1 Ni1,117,10.1016/j.scriptamat.2018.11.042,CAST,FCC,,,,,,,130.2,C,25.0,210.0,,57.0,,,2018
,Co1 Cr1 Fe1 Mn1 Ni1,117,10.1016/j.scriptamat.2018.11.042,WROUGHT,FCC,,,,,,,394.1,C,25.0,1150.0,,6.0,,,2018
,Co1 Cr1 Fe1 Mn1 Ni1,117,10.1016/j.scriptamat.2018.11.042,WROUGHT,FCC,,,,,,,430.7,C,25.0,1300.0,,0.7,,,2018
,Co1 Cr1 Fe1 Mn1 Ni1,134,10.1016/j.jmst.2018.09.068,WROUGHT,FCC,,,,30.0,,,,T,25.0,300.0,676.0,52.0,,,2018
,Co1 Cr1 Fe1 Mn1 Ni1,134,10.1016/j.jmst.2018.09.068,WROUGHT,FCC,,,,0.65,,,,T,25.0,800.0,888.0,39.5,,,2018
,Co1 Cr1 Fe1 Mn1 Ni1,135,10.1016/j.jallcom.2018.10.168,CAST,,,,,0.4,,,415.0,C,25.0,1314.0,,,20.3,,2018
,Co1 Cr1 Fe1 Mn1 Ni1,138,10.1016/j.jmst.2018.10.009,CAST,FCC,,,,,,,,C,25.0,216.0,,,,,2018
,Co1 Cr1 Fe1 Mn1 Ni1,142,10.1016/j.msea.2019.01.050,WROUGHT,FCC,,,,7.9,,,,T,25.0,378.7,700.1,54.0,,,2019
,Co1 Cr1 Fe1 Mn1 Ni1,144,10.1016/j.jallcom.2018.08.115,WROUGHT,FCC,,,,,,,,T,25.0,386.2,666.3,57.5,,,2018
,Co1 Cr1 Fe1 Mn1 Ni1,154,10.1016/j.intermet.2019.04.003,,,,,,,,,,,,,,,,201.6,2019
,Co1 Cr1 Fe1 Mn1 Ni1,154,10.1016/j.intermet.2019.04.003,,,,,,,,,,,,,,,,202.0,2019
,Co1 Cr1 Fe1 Mn1 Ni1,154,10.1016/j.intermet.2019.04.003,,,,,,,,,,,,,,,,202.2,2019
,Co1 Cr1 Fe1 Mn1 Ni1,158,10.1016/j.intermet.2019.106486,WROUGHT,FCC,,,,245.48,,7.752999999999999,,T,25.0,293.1,625.6,63.0,,,2019
,Co1 Cr1 Fe1 Mn1 Ni1,167,10.1016/j.msea.2019.04.025,CAST,FCC,,,,,,,,T,25.0,210.0,,57.0,,,2019
,Co1 Cr1 Fe1 Mn1 Ni1,167,10.1016/j.msea.2019.04.025,WROUGHT,FCC,,,,,,,,T,25.0,1150.0,,6.0,,,2019
,Co1 Cr1 Fe1 Mn1 Ni1,167,10.1016/j.msea.2019.04.025,WROUGHT,FCC,,,,,,,,T,25.0,1300.0,,2.0,,,2019
,Co1 Cr1 Fe1 Mn1 Ni1,167,10.1016/j.msea.2019.04.025,WROUGHT,FCC,,,,4.0,,,,T,25.0,1050.0,,8.0,,,2019
,Co1 Cr1 Fe1 Mn1 Ni1,167,10.1016/j.msea.2019.04.025,WROUGHT,FCC,,,,8.0,,,,T,25.0,560.0,,49.0,,,2019
,Co1 Cr1 Fe1 Mn1 Ni1,167,10.1016/j.msea.2019.04.025,WROUGHT,FCC,,,,8.0,,,,T,25.0,520.0,,47.0,,,2019
,Co1 Cr1 Fe1 Mn1 Ni1,167,10.1016/j.msea.2019.04.025,WROUGHT,FCC,,,,10.0,,,,T,25.0,320.0,,59.0,,,2019
,Co1 Cr1 Fe1 Mn1 Ni1,167,10.1016/j.msea.2019.04.025,WROUGHT,FCC,,,,20.0,,,,T,25.0,280.0,,62.0,,,2019
,Co1 Cr1 Fe1 Mn1 Ni1,173,10.1016/j.jallcom.2018.11.181,ANNEAL,FCC,,,,300.0,,,,,,,,,,,2018
,Co1 Cr1 Fe1 Mn1 Ni1,173,10.1016/j.jallcom.2018.11.181,POWDER,FCC,,,,4.2,,,,,,,,,,,2018
,Co1 Cr1 Fe1 Mn1 Ni1,173,10.1016/j.jallcom.2018.11.181,POWDER,FCC,,,,1.3,,,,,,,,,,,2018
,Co1 Cr1 Fe1 Mn1 Ni1,180,10.1016/j.jallcom.2019.07.195,POWDER,Other,,,,,,7.5,410.9,T,25.0,,,,,184.0,2019
,Co1 Cr1 Fe1 Mn1 Ni1,203,10.1016/j.jallcom.2019.04.121,WROUGHT,FCC,,,,,,,,T,25.0,353.0,635.0,,43.0,,2019
,Co1 Cr1 Fe1 Mn1 Ni1,206,10.1007/s11661-019-05231-y,WROUGHT,FCC,,,,,,,,T,25.0,1199.26,1335.35,4.37,,,2019
,Co1 Cr1 Fe1 Mn1 Ni1,206,10.1007/s11661-019-05231-y,WROUGHT,FCC,,,,,,,,T,25.0,1269.23,1366.3,1.16,,,2019
,Co1 Cr1 Fe1 Mn1 Ni1,206,10.1007/s11661-019-05231-y,WROUGHT,FCC,,,,,,,,T,25.0,1371.21,1402.83,1.58,,,2019
,Co1 Cr1 Fe1 Mn1 Ni1,206,10.1007/s11661-019-05231-y,WROUGHT,FCC,,,,0.166,,,,T,25.0,1362.74,1471.05,3.15,,,2019
,Co1 Cr1 Fe1 Mn1 Ni1,206,10.1007/s11661-019-05231-y,WROUGHT,FCC,,,,0.248,,,,T,25.0,1241.81,1325.25,4.31,,,2019
,Co1 Cr1 Fe1 Mn1 Ni1,206,10.1007/s11661-019-05231-y,WROUGHT,FCC,,,,0.468,,,,T,25.0,930.3,1021.32,19.01,,,2019
,Co1 Cr1 Fe1 Mn1 Ni1,206,10.1007/s11661-019-05231-y,WROUGHT,FCC,,,,1.79,,,,T,25.0,729.21,901.74,26.3,,,2019
,Co1 Cr1 Fe1 Mn1 Ni1,206,10.1007/s11661-019-05231-y,WROUGHT,FCC,,,,4.57,,,,T,25.0,494.82,735.6,38.7,,,2019
,Co1 Cr1 Fe1 Mn1 Ni1,206,10.1007/s11661-019-05231-y,WROUGHT,FCC,,,,13.45,,,,T,25.0,366.88,673.25,42.55,,,2019
,Co1 Cr1 Fe1 Mn1 Ni1,206,10.1007/s11661-019-05231-y,WROUGHT,FCC,,,,22.37,,,,T,25.0,290.65,618.51,43.15,,,2019
,Co1 Cr1 Fe1 Mn1 Ni1,206,10.1007/s11661-019-05231-y,WROUGHT,FCC,,,,30.6,,,,T,25.0,258.76,598.75,45.05,,,2019
,Co1 Cr1 Fe1 Mn1 Ni1,208,10.1016/j.msea.2019.05.056,,,,,,,,,,,,,,,,,2019
,Co1 Cr1 Fe1 Mn1 Ni1,126,10.1080/00325899.2018.1554834,POWDER,Other,,,,0.03,,7.752999999999999,435.0,C,25.0,1100.0,,47.0,,,2018
