IDENTIFIER: Reference ID,FORMULA,PROPERTY: Microstructure,PROPERTY: Processing method,PROPERTY: grain size ($\mu$m),PROPERTY: ROM Density (g/cm$^3$),PROPERTY: Exp. Density (g/cm$^3$),PROPERTY: HV,PROPERTY: Type of test,PROPERTY: Test temperature ($^\circ$C),PROPERTY: YS (MPa),PROPERTY: UTS (MPa),PROPERTY: Elongation (%),PROPERTY: Elongation plastic (%),PROPERTY: Young modulus (GPa),PROPERTY: O content (wppm),PROPERTY: N content (wppm),PROPERTY: C content (wppm),REFERENCE: doi,REFERENCE: year
11,Al0.5 Co0.5 Cr0.5 Fe0.5 Mo0.25 Ni1,FCC+Sec.,CAST,,7.4,,395.0,,25.0,,,,,,,,,10.1016/j.intermet.2012.09.008,2012
12,Al1 Co1 Cr1 Fe1 Ni1,BCC,CAST,,5.7,,,C,25.0,1110.0,,,,169.0,,,,10.1016/j.msea.2010.07.049,2010
12,Al1 Co1 Cr1 Fe1 Ni1 Si1,BCC+Sec.,CAST,,5.7,,,C,25.0,2411.0,2950.0,,1.0,,,,,10.1016/j.msea.2010.07.049,2010
12,Al1 Co1 Cr1 Fe1 Ni1 Si0.2,BCC,CAST,,6.5,,,C,25.0,1265.0,2173.0,,14.0,188.0,,,,10.1016/j.msea.2010.07.049,2010
12,Al1 Co1 Cr1 Fe1 Ni1 Si0.4,BCC,CAST,,6.2,,,C,25.0,1481.0,2444.0,,13.0,183.0,,,,10.1016/j.msea.2010.07.049,2010
12,Al1 Co1 Cr1 Fe1 Ni1 Si0.6,BCC,CAST,,6.0,,,C,25.0,1834.0,2195.0,,3.0,178.0,,,,10.1016/j.msea.2010.07.049,2010
12,Al1 Co1 Cr1 Fe1 Ni1 Si0.8,BCC+Sec.,CAST,,5.8,,,C,25.0,2179.0,2664.0,,2.0,,,,,10.1016/j.msea.2010.07.049,2010
13,Al0.25 Co1 Cr1 Cu0.5 Fe1 Ni1 Ti0.5,FCC,CAST,,7.4,,,,25.0,,,,,198.0,,,,10.1016/j.jallcom.2008.11.059,2008
13,Al0.25 Co1 Cr1 Cu0.75 Fe1 Ni1 Ti0.5,FCC,CAST,,7.5,,,C,25.0,750.0,1970.0,,39.0,103.0,,,,10.1016/j.jallcom.2008.11.059,2008
13,Al0.5 Co1 Cr1 Cu0.5 Fe1 Ni1 Ti0.5,FCC+BCC,CAST,,7.1,,,C,25.0,1580.0,2389.0,,17.0,161.0,,,,10.1016/j.jallcom.2008.11.059,2008
13,Al0.75 Co1 Cr1 Cu0.25 Fe1 Ni1 Ti0.5,FCC+BCC,CAST,,6.8,,,C,25.0,1900.0,2697.0,,12.0,164.0,,,,10.1016/j.jallcom.2008.11.059,2008
13,Co1 Cr1 Cu1 Fe1 Ni1 Ti0.5,FCC,CAST,,7.8,,,C,25.0,700.0,1650.0,,29.0,93.0,,,,10.1016/j.jallcom.2008.11.059,2008
14,Al1 Co1 Cr1 Fe1 Ni1 Ti1,BCC+BCC,CAST,,6.2,,,C,25.0,1860.0,2580.0,10.7,9.0,90.0,,,,10.1063/1.2734517,
14,Al1 Co1 Cr1 Fe1 Ni1 Ti0.5,BCC+BCC,CAST,,6.4,,178.0,C,25.0,2260.0,3140.0,24.4,23.0,178.0,,,,10.1063/1.2734517,
14,Al0.667 Co0.667 Cr0.667 Fe0.667 Ni0.667 Ti1,BCC+Laves (C14),CAST,,6.1,,,C,25.0,2220.0,2720.0,6.6,5.0,160.0,,,,10.1063/1.2734517,
15,Al1 Co1 Cr1 Fe1 Ni1 Ti1 V1 Zr1,,CAST,,6.3,,780.0,,25.0,,,,,,,,,10.1002/adem.200300567,
15,Al1 Co1 Fe1 Ni1 Ti1 V1 Zr1,BCC,CAST,,6.2,,790.0,,25.0,,,,,143.0,,,,10.1002/adem.200300567,
15,Al1 Fe1 Ni1 Ti1 V1 Zr1,BCC,CAST,,5.9,,800.0,,25.0,,,,,132.0,,,,10.1002/adem.200300567,
15,Co1 Cr1 Cu1 Fe1 Ni1 Ti1 V1 Zr1,,CAST,,7.1,,680.0,,25.0,,,,,168.0,,,,10.1002/adem.200300567,
15,Co1 Cr1 Fe1 Mo1 Ni1 Ti1 V1 Zr1,,CAST,,7.3,,850.0,,25.0,,,,,193.0,,,,10.1002/adem.200300567,
15,Co1 Cu1 Fe1 Ni1 Ti1 V1 Zr1,,CAST,,7.1,,630.0,,25.0,,,,,,,,,10.1002/adem.200300567,
15,Co1 Fe1 Mo1 Ni1 Ti1 V1 Zr1,,CAST,,7.3,,790.0,,25.0,,,,,,,,,10.1002/adem.200300567,
15,Cu1 Fe1 Ni1 Ti1 V1 Zr1,,CAST,,6.8,,590.0,,25.0,,,,,142.0,,,,10.1002/adem.200300567,
15,Fe1 Mo1 Ni1 Ti1 V1 Zr1,BCC+Sec.,CAST,,7.1,,740.0,,25.0,,,,,,,,,10.1002/adem.200300567,
16,Al0.1 Co1 Cr1 Fe1 Mn1 Ni1,FCC,CAST,,7.9,,180.0,,25.0,,,,,216.0,,,,10.1016/j.actamat.2013.09.037,2013
